Remaining: 371 collecting now: 'Chachani|2013-10-24T20:09:56Z' done in 0.002272 average: 0.032545279411764716
Remaining: 370 collecting now: 'Hussein of Jordan|2011-10-29T01:07:34Z' done in 0.002832 average: 0.03211465217391305
Remaining: 369 collecting now: 'U.S. Route 30 in Indiana|2011-08-18T12:40:18Z' done in 0.067048 average: 0.03261370000000001
Remaining: 368 collecting now: 'Hussein of Jordan|2019-02-07T22:40:13Z' done in 0.003878 average: 0.03220897183098592
Remaining: 367 collecting now: 'Roderigo Lopez|2017-09-23T15:26:10Z' done in 0.085663 average: 0.0329513888888889
Remaining: 366 collecting now: 'Hussein of Jordan|2005-01-28T13:05:32Z' done in 0.050007 average: 0.03318502739726028
Remaining: 365 collecting now: 'Roderigo Lopez|2009-12-28T01:08:13Z' done in 0.003605 average: 0.0327852972972973
Remaining: 364 collecting now: 'Hussein of Jordan|2014-10-23T07:03:03Z' done in 0.003179 average: 0.032390546666666666
Remaining: 363 collecting now: 'Hussein of Jordan|2008-07-23T21:53:24Z' done in 0.053992 average: 0.032674776315789474
Remaining: 362 collecting now: 'U.S. Route 30 in Indiana|2007-10-20T03:36:10Z' done in 0.051753 average: 0.03292254545454546
Remaining: 361 collecting now: 'Hussein of Jordan|2003-07-06T21:36:00Z' done in 0.004618 average: 0.03255966666666667
Remaining: 360 collecting now: 'Hussein of Jordan|2018-08-12T01:25:39Z' done in 0.001813 average: 0.03217046835443038
Remaining: 359 collecting now: 'U.S. Route 30 in Indiana|2006-08-21T05:11:15Z' done in 0.086664 average: 0.032851637499999996
Remaining: 358 collecting now: 'Hussein of Jordan|2015-10-29T14:02:59Z' done in 0.001362 average: 0.032462876543209875
Remaining: 357 collecting now: 'Roderigo Lopez|2009-08-14T00:24:42Z' done in 0.053321 average: 0.03271724390243902
Remaining: 356 collecting now: 'U.S. Route 30 in Indiana|2014-10-06T12:03:30Z' done in 0.003161 average: 0.032361144578313246
Remaining: 355 collecting now: 'Roderigo Lopez|2016-01-17T16:47:39Z' done in 0.048749 average: 0.03255623809523809
Remaining: 354 collecting now: 'U.S. Route 30 in Indiana|2019-02-22T21:44:53Z' done in 0.047983 average: 0.0327377294117647
Remaining: 353 collecting now: 'Hussein of Jordan|2018-11-28T22:12:18Z' done in 0.051954 average: 0.03296117441860464
Remaining: 352 collecting now: 'Hussein of Jordan|2015-01-31T16:27:00Z' done in 0.032254 average: 0.032953045977011486
